Category,Item_Code,Price,Quantity
46,fs,0.064,24
46,fs,0.102,568
46,fs,0.135,568
46,fs,0.22,289
46,fs,0.251,181
46,zh,0.006,716
46,zh,0.008,333
46,zh,0.018,103
46,zh,0.034,568
46,zh,0.036,24
46,zh,0.043,568
46,zh,0.667,16
46,zh,0.979,353
46,zh,1.103,1560
46,tf,0.018,102
46,tf,0.039,24
46,tf,0.051,2387
46,bw,0.018,97
46,bw,0.019,432
46,bw,0.02,6
46,bw,0.026,432
46,bw,0.124,791
46,bw,0.6,8
46,bw,0.733,369
46,bw,0.819,1758
46,gp,0.018,10
46,gp,0.334,17
46,gp,0.424,217
46,gp,0.468,1385
46,ais,0.018,103
46,ais,0.267,17
46,ais,0.456,24
46,ais,0.721,568
46,ais,0.96,568
46,ais,1.34,207
46,ais,1.557,54
46,ait,0.018,103
46,ait,0.464,24
46,ait,0.734,568
46,ait,0.979,568
46,ait,1.367,251
46,ait,1.557,1351
46,yw,0.018,103
46,yw,0.072,568
46,yw,0.078,24
46,yw,0.093,568
46,yw,0.118,478
46,yw,0.2,16
46,yw,0.326,366
46,yw,0.369,2022
46,abc,0.018,101
46,abc,0.098,18
46,abc,0.154,562
46,abc,0.206,562
46,abc,0.29,289
46,abc,0.314,4
46,hrnjie,0.018,103
46,li,0.006,629
46,li,0.015,50
46,li,0.018,103
46,li,0.036,12
46,li,0.056,550
46,li,0.066,394
46,li,0.075,550
46,li,0.079,1620
46,agk,0.018,103
46,agk,0.024,90
46,agk,0.091,18
46,agk,0.143,562
46,agk,0.181,562
46,agk,0.318,222
46,agk,0.392,176
46,gmsg,0.018,103
46,gmsg,1.356,100
46,hpnc,0.018,102
46,lc,0.299,146
46,lc,0.366,24
46,lc,0.471,328
46,lc,0.502,3527
46,wx,0.018,85
46,wx,0.067,582
46,wx,0.083,532
46,wx,0.111,532
46,wx,0.215,12
46,wx,0.467,15
46,wx,0.599,2310
46,ajj,0.052,1124
46,ajj,0.079,18
46,ajj,0.084,1305
46,tg,1.127,225
46,tg,1.504,500
46,tg,1.529,228
46,tg,1.881,2
46,tg,3.243,917
46,tg,4.236,1186
46,hw,0.046,348
46,hw,0.062,348
46,hw,0.067,7
46,hw,0.095,752
46,hw,0.122,358
46,hw,0.134,1552
46,ig,0.054,1
46,ig,0.067,719
46,ig,0.074,644
46,ig,0.124,294
46,ig,0.143,319
46,ig,0.159,294
46,ig,0.267,12
46,ig,0.752,820
46,oi,0.107,2108
46,oi,0.118,401
46,oi,0.187,1
46,oi,0.66,602
46,oi,0.804,295
46,oi,0.834,156
46,oi,1,156
46,oi,1.386,13
46,oi,2.948,933
46,mb,0.014,1
46,mb,0.067,743
46,mb,0.122,625
46,mb,0.123,394
46,mb,0.134,1
46,mb,0.138,394
46,mb,0.336,268
46,mb,0.369,840
46,wa,1.11,417
46,wa,1.248,324
46,wa,1.567,1
46,wa,2.118,334
46,wa,2.542,334
46,wa,3.684,322
46,fb,0.04,374
46,fb,0.054,1
46,fb,0.067,714
46,fb,0.087,6
46,fb,0.093,6
46,fb,0.115,6
46,fb,0.119,677
46,fb,0.334,14
46,fb,0.749,334
46,fb,0.835,979
46,go,0.094,1
46,go,0.118,674
46,go,0.23,48
46,go,0.243,200
46,go,0.291,48
46,go,0.862,545
46,go,0.934,1
46,go,1.651,897
46,am,0.09,711
46,am,0.094,1
46,am,0.104,14
46,am,0.114,12
